Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Sales Agent ID,Country/Region,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Cost%
11,CA-115812-11,6/9/2017,6/14/2017,Standard Class,BH-11710,Brosina Hoffman,4,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2
12,CA-115812-12,6/9/2017,6/14/2017,Standard Class,BH-11710,Brosina Hoffman,4,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2
13,CA-114412-13,4/15/2020,4/20/2020,Standard Class,AA-10480,Andrew Allen,32,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2
14,CA-161389-14,12/5/2019,12/10/2019,Standard Class,IM-15070,Irene Maddox,46,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2
15,US-118983-15,11/22/2018,11/26/2018,Standard Class,HP-14815,Harold Pawlan,42,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8
16,US-118983-16,11/22/2018,11/26/2018,Standard Class,HP-14815,Harold Pawlan,42,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8
17,CA-105893-17,11/11/2017,11/18/2017,Standard Class,PK-19075,Pete Kriz,48,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.1
18,CA-167164-18,5/13/2017,5/15/2017,Second Class,AG-10270,Alejandro Grove,43,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.1
19,CA-143336-19,8/27/2017,9/1/2017,Second Class,ZD-21925,Zuschuss Donatelli,4,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0.1
20,CA-143336-20,8/27/2017,9/1/2017,Second Class,ZD-21925,Zuschuss Donatelli,4,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2
21,CA-143336-21,8/27/2017,9/1/2017,Second Class,ZD-21925,Zuschuss Donatelli,4,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2
22,CA-137330-22,12/9/2019,12/13/2019,Standard Class,KB-16585,Ken Black,26,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0.1
23,CA-137330-23,12/9/2019,12/13/2019,Standard Class,KB-16585,Ken Black,26,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.1
25,CA-106320-25,9/25/2018,9/30/2018,Standard Class,EB-13870,Emily Burns,43,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.1
26,CA-121755-26,1/16/2019,1/20/2019,Second Class,EH-13945,Eric Hoffmann,4,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2
27,CA-121755-27,1/16/2019,1/20/2019,Second Class,EH-13945,Eric Hoffmann,4,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.1
28,US-150630-28,9/17/2018,9/21/2018,Standard Class,TB-21520,Tracy Blumstein,37,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5
29,US-150630-29,9/17/2018,9/21/2018,Standard Class,TB-21520,Tracy Blumstein,37,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7
30,US-150630-30,9/17/2018,9/21/2018,Standard Class,TB-21520,Tracy Blumstein,37,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2
31,US-150630-31,9/17/2018,9/21/2018,Standard Class,TB-21520,Tracy Blumstein,37,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2
32,US-150630-32,9/17/2018,9/21/2018,Standard Class,TB-21520,Tracy Blumstein,37,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2
33,US-150630-33,9/17/2018,9/21/2018,Standard Class,TB-21520,Tracy Blumstein,37,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7
34,US-150630-34,9/17/2018,9/21/2018,Standard Class,TB-21520,Tracy Blumstein,37,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2
36,CA-117590-36,12/8/2019,12/10/2019,First Class,GH-14485,Gene Hale,42,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2
37,CA-117590-37,12/8/2019,12/10/2019,First Class,GH-14485,Gene Hale,42,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6
38,CA-117415-38,12/27/2018,12/31/2018,Standard Class,SN-20710,Steve Nguyen,42,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2
39,CA-117415-39,12/27/2018,12/31/2018,Standard Class,SN-20710,Steve Nguyen,42,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32
40,CA-117415-40,12/27/2018,12/31/2018,Standard Class,SN-20710,Steve Nguyen,42,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3
41,CA-117415-41,12/27/2018,12/31/2018,Standard Class,SN-20710,Steve Nguyen,42,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2
43,CA-101343-43,7/17/2019,7/22/2019,Standard Class,RA-19885,Ruben Ausman,4,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.1
45,CA-118255-45,3/11/2019,3/13/2019,First Class,ON-18715,Odella Nelson,22,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.1
46,CA-118255-46,3/11/2019,3/13/2019,First Class,ON-18715,Odella Nelson,22,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.1
47,CA-146703-47,10/20/2017,10/25/2017,Second Class,PO-18865,Patrick O'Donnell,21,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.1
48,CA-169194-48,6/20/2019,6/25/2019,Standard Class,LH-16900,Lena Hernandez,7,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0.1
49,CA-169194-49,6/20/2019,6/25/2019,Standard Class,LH-16900,Lena Hernandez,7,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.1
50,CA-115742-50,4/18/2018,4/22/2018,Standard Class,DP-13000,Darren Powers,13,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.1
51,CA-115742-51,4/18/2018,4/22/2018,Standard Class,DP-13000,Darren Powers,13,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0.1
52,CA-115742-52,4/18/2018,4/22/2018,Standard Class,DP-13000,Darren Powers,13,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.1
53,CA-115742-53,4/18/2018,4/22/2018,Standard Class,DP-13000,Darren Powers,13,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0.1
54,CA-105816-54,12/11/2019,12/17/2019,Standard Class,JM-15265,Janet Molinari,31,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.1
55,CA-105816-55,12/11/2019,12/17/2019,Standard Class,JM-15265,Janet Molinari,31,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.1
56,CA-111682-56,6/17/2019,6/18/2019,First Class,TB-21055,Ted Butterfield,31,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.1
57,CA-111682-57,6/17/2019,6/18/2019,First Class,TB-21055,Ted Butterfield,31,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0.1
58,CA-111682-58,6/17/2019,6/18/2019,First Class,TB-21055,Ted Butterfield,31,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1
59,CA-111682-59,6/17/2019,6/18/2019,First Class,TB-21055,Ted Butterfield,31,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.1
60,CA-111682-60,6/17/2019,6/18/2019,First Class,TB-21055,Ted Butterfield,31,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0.1
61,CA-111682-61,6/17/2019,6/18/2019,First Class,TB-21055,Ted Butterfield,31,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2
62,CA-111682-62,6/17/2019,6/18/2019,First Class,TB-21055,Ted Butterfield,31,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.1
63,CA-135545-63,11/24/2018,11/30/2018,Standard Class,KM-16720,Kunst Miller,4,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.1
64,CA-135545-64,11/24/2018,11/30/2018,Standard Class,KM-16720,Kunst Miller,4,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2
65,CA-135545-65,11/24/2018,11/30/2018,Standard Class,KM-16720,Kunst Miller,4,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0.1
66,CA-135545-66,11/24/2018,11/30/2018,Standard Class,KM-16720,Kunst Miller,4,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.1
67,US-164175-67,4/30/2018,5/5/2018,Standard Class,PS-18970,Paul Stevenson,12,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3
68,CA-106376-68,12/5/2017,12/10/2017,Standard Class,BS-11590,Brendan Sweed,2,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2
69,CA-106376-69,12/5/2017,12/10/2017,Standard Class,BS-11590,Brendan Sweed,2,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2
70,CA-119823-70,6/4/2019,6/6/2019,First Class,KD-16270,Karen Daniels,45,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.1
71,CA-106075-71,9/18/2019,9/23/2019,Standard Class,HM-14980,Henry MacAllister,31,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2
73,US-134026-73,4/26/2018,5/2/2018,Standard Class,JE-15745,Joel Eaton,41,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2
74,US-134026-74,4/26/2018,5/2/2018,Standard Class,JE-15745,Joel Eaton,41,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2
75,US-134026-75,4/26/2018,5/2/2018,Standard Class,JE-15745,Joel Eaton,41,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2
79,US-147606-79,11/26/2017,12/1/2017,Second Class,JE-15745,Joel Eaton,42,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6
80,CA-127208-80,6/12/2019,6/15/2019,First Class,SC-20770,Stewart Carmichael,#VALUE!,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.1
81,CA-127208-81,6/12/2019,6/15/2019,First Class,SC-20770,Stewart Carmichael,#VALUE!,United States,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0.1
82,CA-139451-82,10/12/2017,10/16/2017,Standard Class,DN-13690,Duane Noonan,4,United States,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0.1
83,CA-139451-83,10/12/2017,10/16/2017,Standard Class,DN-13690,Duane Noonan,4,United States,San Francisco,California,94122,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.1
84,CA-149734-84,9/3/2018,9/8/2018,Standard Class,JC-16105,Julie Creighton,32,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2
89,CA-159695-89,4/5/2019,4/10/2019,Second Class,GM-14455,Gary Mitchum,42,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2
90,CA-109806-90,9/17/2019,9/22/2019,Standard Class,JS-15685,Jim Sink,4,United States,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0.1
91,CA-109806-91,9/17/2019,9/22/2019,Standard Class,JS-15685,Jim Sink,4,United States,Los Angeles,California,90036,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2
92,CA-109806-92,9/17/2019,9/22/2019,Standard Class,JS-15685,Jim Sink,4,United States,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0.1
93,CA-149587-93,1/31/2018,2/5/2018,Second Class,KB-16315,Karl Braun,22,United States,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2,0.1
94,CA-149587-94,1/31/2018,2/5/2018,Second Class,KB-16315,Karl Braun,22,United States,Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0.1
95,CA-149587-95,1/31/2018,2/5/2018,Second Class,KB-16315,Karl Braun,22,United States,Minneapolis,Minnesota,55407,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0.1
99,CA-149223-99,9/6/2019,9/11/2019,Standard Class,ER-13855,Elpida Rittenbach,22,United States,Saint Paul,Minnesota,55106,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0.1
100,CA-158568-100,8/29/2019,9/2/2019,Standard Class,RB-19465,Rick Bensley,12,United States,Chicago,Illinois,60610,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2
101,CA-158568-101,8/29/2019,9/2/2019,Standard Class,RB-19465,Rick Bensley,12,United States,Chicago,Illinois,60610,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2
102,CA-158568-102,8/29/2019,9/2/2019,Standard Class,RB-19465,Rick Bensley,12,United States,Chicago,Illinois,60610,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8
103,CA-129903-103,12/1/2019,12/4/2019,Second Class,GZ-14470,Gary Zandusky,22,United States,Rochester,Minnesota,55901,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0.1
104,US-156867-104,11/13/2018,11/17/2018,Standard Class,LC-16870,Lena Cacioppo,5,United States,Aurora,Colorado,80013,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2
105,US-156867-105,11/13/2018,11/17/2018,Standard Class,LC-16870,Lena Cacioppo,5,United States,Aurora,Colorado,80013,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2
106,US-156867-106,11/13/2018,11/17/2018,Standard Class,LC-16870,Lena Cacioppo,5,United States,Aurora,Colorado,80013,West,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7
110,CA-129476-110,10/15/2018,10/20/2018,Standard Class,PA-19060,Pete Armstrong,12,United States,Orland Park,Illinois,60462,Central,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,5,0.2
112,CA-128867-112,11/3/2019,11/10/2019,Standard Class,CL-12565,Clay Ludtke,14,United States,Urbandale,Iowa,50322,Central,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0.1
113,CA-128867-113,11/3/2019,11/10/2019,Standard Class,CL-12565,Clay Ludtke,14,United States,Urbandale,Iowa,50322,Central,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6,0.1
114,CA-115259-114,8/25/2017,8/27/2017,Second Class,RC-19960,Ryan Crowe,34,United States,Columbus,Ohio,43229,East,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,0.2
115,CA-115259-115,8/25/2017,8/27/2017,Second Class,RC-19960,Ryan Crowe,34,United States,Columbus,Ohio,43229,East,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,0.2
116,CA-115259-116,8/25/2017,8/27/2017,Second Class,RC-19960,Ryan Crowe,34,United States,Columbus,Ohio,43229,East,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,23.976,3,0.2
117,CA-115259-117,8/25/2017,8/27/2017,Second Class,RC-19960,Ryan Crowe,34,United States,Columbus,Ohio,43229,East,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,0.2
118,CA-110457-118,3/2/2018,3/6/2018,Standard Class,DK-13090,Dave Kipp,46,United States,Seattle,Washington,98103,West,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3,0.1
119,US-136476-119,4/5/2018,4/10/2018,Standard Class,GG-14650,Greg Guthrie,41,United States,Bristol,Tennessee,37620,South,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1,0.7
120,CA-103730-120,6/12/2019,6/15/2019,First Class,SC-20725,Steven Cartwright,7,United States,Wilmington,Delaware,19805,East,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3,0.1
121,CA-103730-121,6/12/2019,6/15/2019,First Class,SC-20725,Steven Cartwright,7,United States,Wilmington,Delaware,19805,East,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4,0.1
122,CA-103730-122,6/12/2019,6/15/2019,First Class,SC-20725,Steven Cartwright,7,United States,Wilmington,Delaware,19805,East,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,6,0.1
123,CA-103730-123,6/12/2019,6/15/2019,First Class,SC-20725,Steven Cartwright,7,United States,Wilmington,Delaware,19805,East,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9,0.1
124,CA-103730-124,6/12/2019,6/15/2019,First Class,SC-20725,Steven Cartwright,7,United States,Wilmington,Delaware,19805,East,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7,0.1
125,US-152030-125,12/26/2017,12/28/2017,Second Class,AD-10180,Alan Dominguez,42,United States,Houston,Texas,77041,Central,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.3
126,US-134614-126,9/20/2017,9/25/2017,Standard Class,PF-19165,Philip Fox,12,United States,Bloomington,Illinois,61701,Central,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.5
129,US-125969-129,11/6/2019,11/10/2019,Second Class,LS-16975,Lindsay Shagiari,4,United States,Los Angeles,California,90004,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81.424,2,0.2
130,US-125969-130,11/6/2019,11/10/2019,Second Class,LS-16975,Lindsay Shagiari,4,United States,Los Angeles,California,90004,West,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0.1
131,US-164147-131,2/2/2020,2/5/2020,First Class,DW-13585,Dorothy Wardle,34,United States,Columbus,Ohio,43229,East,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,0.4
132,US-164147-132,2/2/2020,2/5/2020,First Class,DW-13585,Dorothy Wardle,34,United States,Columbus,Ohio,43229,East,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,78.304,2,0.2
133,US-164147-133,2/2/2020,2/5/2020,First Class,DW-13585,Dorothy Wardle,34,United States,Columbus,Ohio,43229,East,OFF-FA-10002780,Office Supplies,Fasteners,Staples,21.456,9,0.2
134,CA-145583-134,10/13/2019,10/19/2019,Standard Class,LC-16885,Lena Creighton,4,United States,Roseville,California,95661,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,20.04,3,0.1
135,CA-145583-135,10/13/2019,10/19/2019,Standard Class,LC-16885,Lena Creighton,4,United States,Roseville,California,95661,West,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880,35.44,1,0.1
136,CA-145583-136,10/13/2019,10/19/2019,Standard Class,LC-16885,Lena Creighton,4,United States,Roseville,California,95661,West,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,0.1
137,CA-145583-137,10/13/2019,10/19/2019,Standard Class,LC-16885,Lena Creighton,4,United States,Roseville,California,95661,West,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,4.02,2,0.1
